Reports,No Finding,Enlarged Cardiomediastinum,Cardiomegaly,Lung Lesion,Lung Opacity,Edema,Consolidation,Pneumonia,Atelectasis,Pneumothorax,Pleural Effusion,Pleural Other,Fracture,Support Devices
previously described subpleural left lower lobe opacity seen on prior chest radiograph which corresponds to an area of pleural fat on ct appears more prominent on the current exam,,,,,1.0,,,,,,,,,
bilateral patchy opacities in the lung bases may reflect areas of infection or atelectasis,,,,,1.0,,,-1.0,-1.0,,,,,
there are small bilateral pleural effusions,,,,,,,,,,,1.0,,,
no pneumothorax is identified and there are no acute osseous abnormalities  .,1.0,,,,,,,,,0.0,,,,
there are low lung volumes,1.0,,,,,,,,,,,,,
this accentuates the size of the cardiac silhouette which is likely top normal,1.0,,0.0,,,,,,,,,,,
there is crowding of the bronchovascular structures but no evidence of pulmonary edema,1.0,,,,,0.0,,,,,,,,
the mediastinal and hilar contours are otherwise within normal limits,1.0,0.0,,,,,,,,,,,,
previously described subpleural left lower lobe opacity seen on prior chest radiograph which corresponds to an area of pleural fat on ct appears more prominent on the current exam,,,,,1.0,,,,,,,,,
bilateral patchy opacities in the lung bases may reflect areas of infection or atelectasis,,,,,1.0,,,-1.0,-1.0,,,,,
there are small bilateral pleural effusions,,,,,,,,,,,1.0,,,
no pneumothorax is identified and there are no acute osseous abnormalities  .,1.0,,,,,,,,,0.0,,,,
an endotracheal tube approximately 7 cm from the carina and at the level of the clavicular head is in proper position,1.0,,,,,,,,,,,,,1.0
a feeding tube is seen within the stomach with the tip out of the field of view,1.0,,,,,,,,,,,,,1.0
a left chest tube is present,1.0,,,,,,,,,,,,,1.0
mediastinal drains are in place,1.0,,,,,,,,,,,,,
sternal wires with a stabilizing device are present,1.0,,,,,,,,,,,,,1.0
a swan-ganz catheter is seen within the right atrium but the distal tip cannot be traced further due to the overlying structures,1.0,,,,,,,,,,,,,1.0
the cardiomediastinal silhouette has the normal postoperative appearance,,1.0,,,,,,,,,,,,
there is mild bibasilar atelectasis and right upper lobe atelectasis,,,,,,,,,1.0,,,,,
there are no pleural effusions or pulmonary edema,1.0,,,,,0.0,,,,,0.0,,,
the previously seen pulmonary edema has resolved,1.0,,,,,0.0,,,,,,,,
there is no pneumothorax  .,1.0,,,,,,,,,0.0,,,,
an endotracheal tube approximately 7 cm from the carina and at the level of the clavicular head is in proper position,1.0,,,,,,,,,,,,,1.0
a feeding tube is seen within the stomach with the tip out of the field of view,1.0,,,,,,,,,,,,,1.0
a left chest tube is present,1.0,,,,,,,,,,,,,1.0
mediastinal drains are in place,1.0,,,,,,,,,,,,,
sternal wires with a stabilizing device are present,1.0,,,,,,,,,,,,,1.0
a swan-ganz catheter is seen within the right atrium but the distal tip cannot be traced further due to the overlying structures,1.0,,,,,,,,,,,,,1.0
the cardiomediastinal silhouette has the normal postoperative appearance,,1.0,,,,,,,,,,,,
there is mild bibasilar atelectasis and right upper lobe atelectasis,,,,,,,,,1.0,,,,,
there are no pleural effusions or pulmonary edema,1.0,,,,,0.0,,,,,0.0,,,
the previously seen pulmonary edema has resolved,1.0,,,,,0.0,,,,,,,,
there is no pneumothorax  .,1.0,,,,,,,,,0.0,,,,
heart size is normal when allowances are made for prominent bilateral pericardial fat pads shown to better detail on ct abdomen of,,,0.0,,,,,,,,,,,
mediastinal and hilar contours are within normal limits and without change,,1.0,,,,,,,,,,,,
lungs are remarkable for upper lobe predominant emphysema more severe in the right upper lobe than the left,,,,,,,,,,,,,,
no new focal lung abnormalities were detected and there are no pleural effusions,1.0,,,,,,,,,,0.0,,,
mild compression deformity in the mid thoracic spine is unchanged  .,,,,,,,,,,,,,,
heart size is normal when allowances are made for prominent bilateral pericardial fat pads shown to better detail on ct abdomen of,,,0.0,,,,,,,,,,,
mediastinal and hilar contours are within normal limits and without change,,1.0,,,,,,,,,,,,
lungs are remarkable for upper lobe predominant emphysema more severe in the right upper lobe than the left,,,,,,,,,,,,,,
no new focal lung abnormalities were detected and there are no pleural effusions,1.0,,,,,,,,,,0.0,,,
mild compression deformity in the mid thoracic spine is unchanged  .,,,,,,,,,,,,,,
linear opacities of the lung bases bilaterally likely reflect atelectasis,,,,,1.0,,,,1.0,,,,,
hyperlucency of the upper zones is reflective of emphysema,,,,,,,,,,,,,,
no focal consolidation pleural effusion or pneumothorax,1.0,,,,,,0.0,,,0.0,0.0,,,
heart size and mediastinal contours are normal,1.0,0.0,0.0,,,,,,,,,,,
osseous structures are demineralized diffusely with a compression deformity in the mid thoracic spine which is unchanged from  .,,,,,,,,,,,,,,
linear opacities of the lung bases bilaterally likely reflect atelectasis,,,,,1.0,,,,1.0,,,,,
hyperlucency of the upper zones is reflective of emphysema,,,,,,,,,,,,,,
no focal consolidation pleural effusion or pneumothorax,1.0,,,,,,0.0,,,0.0,0.0,,,
heart size and mediastinal contours are normal,1.0,0.0,0.0,,,,,,,,,,,
osseous structures are demineralized diffusely with a compression deformity in the mid thoracic spine which is unchanged from  .,,,,,,,,,,,,,,
ap upright and lateral views of the chest were provided,1.0,,,,,,,,,,,,,
left chest wall pacer pack is again seen with leads extending into the right heart,1.0,,,,,,,,,,,,,1.0
abandoned pacing leads are also noted in the right chest wall extending into the right heart,1.0,,,,,,,,,,,,,
the heart remains moderately enlarged,,,1.0,,,,,,,,,,,
lung volumes are low with equivocal ground-glass opacity on the frontal view which appears less conspicuous on the lateral view most likely attributable to underpenetrated technique,,,,,1.0,,,,,,,,,
no gross evidence for pneumonia or pulmonary edema,1.0,,,,,0.0,,0.0,,,,,,
no large effusions are seen,1.0,,,,,,,,,,0.0,,,
there is no pneumothorax,1.0,,,,,,,,,0.0,,,,
bony structures are intact  .,1.0,,,,,,,,,,,,,
ap upright and lateral views of the chest were provided,1.0,,,,,,,,,,,,,
left chest wall pacer pack is again seen with leads extending into the right heart,1.0,,,,,,,,,,,,,1.0
abandoned pacing leads are also noted in the right chest wall extending into the right heart,1.0,,,,,,,,,,,,,
the heart remains moderately enlarged,,,1.0,,,,,,,,,,,
lung volumes are low with equivocal ground-glass opacity on the frontal view which appears less conspicuous on the lateral view most likely attributable to underpenetrated technique,,,,,1.0,,,,,,,,,
no gross evidence for pneumonia or pulmonary edema,1.0,,,,,0.0,,0.0,,,,,,
no large effusions are seen,1.0,,,,,,,,,,0.0,,,
there is no pneumothorax,1.0,,,,,,,,,0.0,,,,
bony structures are intact  .,1.0,,,,,,,,,,,,,
ap upright and lateral views of the chest were provided,1.0,,,,,,,,,,,,,
left chest wall pacer pack is again seen with leads extending into the right heart,1.0,,,,,,,,,,,,,1.0
abandoned pacing leads are also noted in the right chest wall extending into the right heart,1.0,,,,,,,,,,,,,
the heart remains moderately enlarged,,,1.0,,,,,,,,,,,
lung volumes are low with equivocal ground-glass opacity on the frontal view which appears less conspicuous on the lateral view most likely attributable to underpenetrated technique,,,,,1.0,,,,,,,,,
no gross evidence for pneumonia or pulmonary edema,1.0,,,,,0.0,,0.0,,,,,,
no large effusions are seen,1.0,,,,,,,,,,0.0,,,
there is no pneumothorax,1.0,,,,,,,,,0.0,,,,
bony structures are intact  .,1.0,,,,,,,,,,,,,
pa and lateral radiographs of the chest demonstrate interval resolution of pulmonary edema as well as the possible right lower lobe consolidation,,,,,,0.0,-1.0,,,,,,,
mild cardiomegaly is chronic,,,1.0,,,,,,,,,,,
the upper mediastinum is now less widened consistent with resolution of central vascular engorgement,,1.0,,,,,,,,,,,,
there is no pneumothorax or pleural effusion,1.0,,,,,,,,,0.0,0.0,,,
pulmonary vascularity is normal,1.0,,,,,,,,,,,,,
the atrial biventricular icd are unchanged  .,1.0,,,,,,,,,,,,,1.0
pa and lateral radiographs of the chest demonstrate interval resolution of pulmonary edema as well as the possible right lower lobe consolidation,,,,,,0.0,-1.0,,,,,,,
mild cardiomegaly is chronic,,,1.0,,,,,,,,,,,
the upper mediastinum is now less widened consistent with resolution of central vascular engorgement,,1.0,,,,,,,,,,,,
there is no pneumothorax or pleural effusion,1.0,,,,,,,,,0.0,0.0,,,
pulmonary vascularity is normal,1.0,,,,,,,,,,,,,
the atrial biventricular icd are unchanged  .,1.0,,,,,,,,,,,,,1.0
pa and lateral radiographs of the chest demonstrate interval resolution of pulmonary edema as well as the possible right lower lobe consolidation,,,,,,0.0,-1.0,,,,,,,
mild cardiomegaly is chronic,,,1.0,,,,,,,,,,,
the upper mediastinum is now less widened consistent with resolution of central vascular engorgement,,1.0,,,,,,,,,,,,
there is no pneumothorax or pleural effusion,1.0,,,,,,,,,0.0,0.0,,,
pulmonary vascularity is normal,1.0,,,,,,,,,,,,,
the atrial biventricular icd are unchanged  .,1.0,,,,,,,,,,,,,1.0
frontal and lateral views of the chest were obtained,1.0,,,,,,,,,,,,,
lung volumes are slightly less as compared to the prior study,1.0,,,,,,,,,,,,,
again there is enlargement of the cardiomediastinal silhouette which is slightly more prominent as compared to the prior study which may be due to ap unk and lower lung volumes,,1.0,,,,,,,,,,,,
left-sided pacer device is stable,1.0,,,,,,,,,,,,,1.0
right-sided abandoned leads are also unchanged,1.0,,,,,,,,,,,,,
there is mild pulmonary vascular congestion,,,,,,-1.0,,,,,,,,
no definite focal consolidation is seen,1.0,,,,,,0.0,,,,,,,
there is no pleural effusion or evidence of pneumothorax  .,1.0,,,,,,,,,0.0,0.0,,,
frontal and lateral views of the chest were obtained,1.0,,,,,,,,,,,,,
lung volumes are slightly less as compared to the prior study,1.0,,,,,,,,,,,,,
again there is enlargement of the cardiomediastinal silhouette which is slightly more prominent as compared to the prior study which may be due to ap unk and lower lung volumes,,1.0,,,,,,,,,,,,
left-sided pacer device is stable,1.0,,,,,,,,,,,,,1.0
right-sided abandoned leads are also unchanged,1.0,,,,,,,,,,,,,
there is mild pulmonary vascular congestion,,,,,,-1.0,,,,,,,,
no definite focal consolidation is seen,1.0,,,,,,0.0,,,,,,,
there is no pleural effusion or evidence of pneumothorax  .,1.0,,,,,,,,,0.0,0.0,,,
frontal and lateral views of the chest were obtained,1.0,,,,,,,,,,,,,
lung volumes are slightly less as compared to the prior study,1.0,,,,,,,,,,,,,
again there is enlargement of the cardiomediastinal silhouette which is slightly more prominent as compared to the prior study which may be due to ap unk and lower lung volumes,,1.0,,,,,,,,,,,,
left-sided pacer device is stable,1.0,,,,,,,,,,,,,1.0
right-sided abandoned leads are also unchanged,1.0,,,,,,,,,,,,,
there is mild pulmonary vascular congestion,,,,,,-1.0,,,,,,,,
no definite focal consolidation is seen,1.0,,,,,,0.0,,,,,,,
there is no pleural effusion or evidence of pneumothorax  .,1.0,,,,,,,,,0.0,0.0,,,
in comparison with study of there is again enlargement of the cardiac silhouette with a pacer device in place,,,1.0,,,,,,,,,,,1.0
no definite vascular congestion raising the possibility of underlying cardiomyopathy or pericardial effusion,1.0,,,,,0.0,,,,,,,,
no acute focal pneumonia,1.0,,,,,,,0.0,,,,,,
the right picc line has been removed  .,1.0,,,,,,,,,,,,,1.0
in comparison with study of there is again enlargement of the cardiac silhouette with a pacer device in place,,,1.0,,,,,,,,,,,1.0
no definite vascular congestion raising the possibility of underlying cardiomyopathy or pericardial effusion,1.0,,,,,0.0,,,,,,,,
no acute focal pneumonia,1.0,,,,,,,0.0,,,,,,
the right picc line has been removed  .,1.0,,,,,,,,,,,,,1.0
in comparison with study of there is again enlargement of the cardiac silhouette with a pacer device in place,,,1.0,,,,,,,,,,,1.0
no definite vascular congestion raising the possibility of underlying cardiomyopathy or pericardial effusion,1.0,,,,,0.0,,,,,,,,
no acute focal pneumonia,1.0,,,,,,,0.0,,,,,,
the right picc line has been removed  .,1.0,,,,,,,,,,,,,1.0
frontal and lateral views of the chest were obtained,1.0,,,,,,,,,,,,,
mild cardiomegaly is similar to prior,,,1.0,,,,,,,,,,,
there is mild pulmonary congestion without overt pulmonary edema,,,,,,-1.0,,,,,,,,
no focal pulmonary consolidation pleural effusion or pneumothorax is seen,1.0,,,,,,0.0,,,0.0,0.0,,,
the osseous structures are unremarkable,1.0,,,,,,,,,,,,,
the leads of an atriobiventricular icd are in similar position to prior  .,1.0,,,,,,,,,,,,,1.0
frontal and lateral views of the chest were obtained,1.0,,,,,,,,,,,,,
mild cardiomegaly is similar to prior,,,1.0,,,,,,,,,,,
there is mild pulmonary congestion without overt pulmonary edema,,,,,,-1.0,,,,,,,,
no focal pulmonary consolidation pleural effusion or pneumothorax is seen,1.0,,,,,,0.0,,,0.0,0.0,,,
the osseous structures are unremarkable,1.0,,,,,,,,,,,,,
the leads of an atriobiventricular icd are in similar position to prior  .,1.0,,,,,,,,,,,,,1.0
frontal and lateral views of the chest were obtained,1.0,,,,,,,,,,,,,
mild cardiomegaly is similar to prior,,,1.0,,,,,,,,,,,
there is mild pulmonary congestion without overt pulmonary edema,,,,,,-1.0,,,,,,,,
no focal pulmonary consolidation pleural effusion or pneumothorax is seen,1.0,,,,,,0.0,,,0.0,0.0,,,
the osseous structures are unremarkable,1.0,,,,,,,,,,,,,
the leads of an atriobiventricular icd are in similar position to prior  .,1.0,,,,,,,,,,,,,1.0
frontal and lateral views of the chest were obtained,1.0,,,,,,,,,,,,,
mild cardiomegaly is similar to prior,,,1.0,,,,,,,,,,,
there is mild pulmonary congestion without overt pulmonary edema,,,,,,-1.0,,,,,,,,
no focal pulmonary consolidation pleural effusion or pneumothorax is seen,1.0,,,,,,0.0,,,0.0,0.0,,,
the osseous structures are unremarkable,1.0,,,,,,,,,,,,,
the leads of an atriobiventricular icd are in similar position to prior  .,1.0,,,,,,,,,,,,,1.0
ap upright portable chest radiograph is obtained,1.0,,,,,,,,,,,,,
a left chest wall pacer device is again seen with lead tips extending into the right atrium and ventricle,1.0,,,,,,,,,,,,,1.0
abandoned pacing leads are also seen in the right chest wall extending into the right heart not significantly changed,1.0,,,,,,,,,,,,,
the heart is mildly enlarged,,,1.0,,,,,,,,,,,
the lungs appear clear without definite signs of pneumonia or chf,,,-1.0,,,-1.0,,-1.0,,,,,,
no large effusion or pneumothorax is seen,1.0,,,,,,,,,0.0,0.0,,,
the overall cardiomediastinal silhouette is stable,,-1.0,,,,,,,,,,,,
bony structures are intact  .,1.0,,,,,,,,,,,,,
ap upright portable chest radiograph is obtained,1.0,,,,,,,,,,,,,
a left chest wall pacer device is again seen with lead tips extending into the right atrium and ventricle,1.0,,,,,,,,,,,,,1.0
abandoned pacing leads are also seen in the right chest wall extending into the right heart not significantly changed,1.0,,,,,,,,,,,,,
the heart is mildly enlarged,,,1.0,,,,,,,,,,,
the lungs appear clear without definite signs of pneumonia or chf,,,-1.0,,,-1.0,,-1.0,,,,,,
no large effusion or pneumothorax is seen,1.0,,,,,,,,,0.0,0.0,,,
the overall cardiomediastinal silhouette is stable,,-1.0,,,,,,,,,,,,
bony structures are intact  .,1.0,,,,,,,,,,,,,
frontal and lateral chest radiographs demonstrate mediastinal and hilar contours are unremarkable,1.0,0.0,,,,,,,,,,,,
stable mild cardiomegaly identified,,,1.0,,,,,,,,,,,
mild interstitial edema noted no pleural effusion or pneumothorax,,,,,,1.0,,,,0.0,0.0,,,
no osseous abnormality identified,1.0,,,,,,,,,,,,,
stable positioning of atrioventricular icd leads,1.0,,,,,,,,,,,,,1.0
abandoned leads again noted in the right chest wall,1.0,,,,,,,,,,,,,
surgical clips project over the upper mediastinum  .,,1.0,,,,,,,,,,,,
frontal and lateral chest radiographs demonstrate mediastinal and hilar contours are unremarkable,1.0,0.0,,,,,,,,,,,,
stable mild cardiomegaly identified,,,1.0,,,,,,,,,,,
mild interstitial edema noted no pleural effusion or pneumothorax,,,,,,1.0,,,,0.0,0.0,,,
no osseous abnormality identified,1.0,,,,,,,,,,,,,
stable positioning of atrioventricular icd leads,1.0,,,,,,,,,,,,,1.0
abandoned leads again noted in the right chest wall,1.0,,,,,,,,,,,,,
